source_listing_id,url,city,district,address_text,property_type,rooms,area_m2,floor,floors_total,price_local,currency,deposit_local,furnished,owner_type,elevator,parking,balcony,renovation,pets_allowed,children_allowed,description,posted_at
1006769989,https://krisha.kz/a/show/1006769989,Астана,Есильский р-н,Алихан Бокейхан 2,квартира,3,76,2,10,300000,KZT,,полностью,agency,,,,,,,Сдаётся евротрешка в доме комфорт класса в шикарной локации левого берега В шаговой доступности школа детские сады Звоните в любое время 24/7,2026-06-14
1013015751,https://krisha.kz/a/show/1013015751,Шымкент,Каратауский р-н,мкр Нурсат 197,квартира,1,50,3,4,100000,KZT,,частично,agency,,,,,,true,Холодильник. Шкаф бар. Агентская услуга 40000 тенге. Показ 2000 тенге,2026-06-14
1004817591,https://krisha.kz/a/show/1004817591,Астана,Нура р-н,Култегин 9,квартира,1,36,5,10,200000,KZT,,полностью,agency,,,,,,,"сдам квартиру на длительный срок ✅Квартира чистая все необходимое есть🔥 ✅Можно 1 студента или Семейная пара желательно 2 человека ✅Депозит ✅Телевизор есть ✅Ком услуги отдельно. звоните, есть видео обзор Звоните заранее",2026-06-14
679321562,https://krisha.kz/a/show/679321562,Алматы,Алмалинский р-н,Панфилова 103 — Арбата,квартира,2,70,11,18,430000,KZT,,полностью,owner,true,,,"свежий ремонт, новая мебель",true,true,"Классная, очень теплая, уютная квартира с потрясающим видом из всех окон, в доме московской постройке в историческом центре Алматы, на Арбате, от Хозяина. 11 этаж из 18. Окна на Кок-Тюбе. Капитальный ремонт. Стиральная машинка почти новые новая, пользовались три месяца. В санузле интерьер обновили 15.01.2026. В кухне интерьер обновили 06.06.2026, в это же время привезли новый диван. Провели химчистку матраса и одеяла. Подушки и постельное, новые. Интернет оптика, скоростной - отличный вариант для работающих на удаленке, госслужащих, студентов, поваров, курьеров и тд. Лоджия огромная, с двумя шкафами, не застекленная, летом можно загорать и круглый год медитироват на свежем воздухе. В доме два лифта. Лестница на случай непревиденных ситуаций. На этаже три квартиры. Есть место для хранения велосипедов и колясок. Квартира, не захломлена избытком мебели, но укомплектована для жилья всем необходимым (спальный гарнитур, кухонный гарнитур, зеркальный шкаф для одежды, два телевизора, посуда, постельное, рабочие приборы коммуникаций). Цветы завезу по требованию. Курить - на балконе, расположенном в коридоре на этом же этаже с видом на Арбат. Удобная геолокация: в шаговой доступности: магазины, парки, метро, аптеки и прочие места развлечений. Депозит предусмотрен, по этой причине не возражаю против животных и детей при соблюдении надлежащего порядка и тишины. Сдаю на длительный срок. Транспорт можно оставлять во дворе, дам пульт от шлагбаума. В доме консьерж и видеонаблюдение. Оплата: депозит + аренда+ коммунальные услуги. Квартира чистая По всем интересующим вопросам просьба звонить по указанному номеру телефона. Дом ориентировочно находится возле Арбата",2026-06-14
681866735,https://krisha.kz/a/show/681866735,Алматы,Бостандыкский р-н,Аль-Фараби 77/1,квартира,3,130,12,22,1600000,KZT,,,owner,,,,,,,"✅Апартаменты под сервисным и техническим обслуживанием ✅Объект после косметического ремонта ✅генеральная уборка+химчистка мебели проведена ✅Новое постельное белье+ комплект полотенец ✅Новые приборы сан гигиены ✅Новая посуда ✅ pet friendly ✅Охрана/Видеонаблюдение 🏂Освободится в конце апреля, просмотр возможен! Видео квартиры по ссылке ниже",2026-06-14
1012086184,https://krisha.kz/a/show/1012086184,Алматы,Бостандыкский р-н,ул. Оноре де Бальзака 2А,квартира,1,33.2,1,5,370000,KZT,370000,полностью,owner,,,true,"свежий ремонт, новая мебель",,,"Квартира сдается с 10 июня 2026 г. Сделан ремонт. Квартира полностью укомплектована всей необходимой мебелью и бытовой техникой, что позволит вам сразу приступить к комфортному проживанию. Интернет+ТВ каналы входят в стоимость коммунальных платежей. Дом находиться в тихом месте, окна выходят на улицу, что позволяет не слышать детей на детской площадки. Кроме того, в этом районе все необходимое есть в шаговой доступности, магазины, аптеки, кафе, рестораны, салоны красоты, Магнум, университеты, школы, детские сады. Есть парк для прогулок вечерами. Добраться можно в любую часть города. Квартира сдается на длительный срок от 2-х месяцев и более. Курение в квартире запрещено. Ежемесячная оплата 370 000 тенге+депозит 370 000 тенге+ коммунальные услуги. При необходимости депозит можно разбить на 2 месяца (если долгий срок снятия квартиры, договор на 12 месяцев и более). Если вы любите комфорт, чистоту и уют, рада буду вас видеть в своей квартире. Я хозяйка, прошу компании по недвижимости и риэлторов не беспокоить! Квартира свободна с 10 июня 2026 года!",2026-06-14
1008649166,https://krisha.kz/a/show/1008649166,Алматы,Медеуский р-н,мкр Думан-1 28,квартира,1,40,1,2,170000,KZT,50000,полностью,owner,,,,"свежий ремонт, новая мебель",,,"Сдается в аренду новая квартира, квартира в частном секторе, 2 этажная постройка, на 1 этаже 3 квартиры на 2 этаже 3 квартиры с отдельным входом, год постройки 2024 год. Техника и мебель все новое. Плита электрическая с вытяжкой. Рядом школа 172 и детский садик 166. Коммуналка отдельно. Депозит 50 000 тенге!",2026-06-14
695728404,https://krisha.kz/a/show/695728404,Костанай,Костанайская обл.,Наримановская 66 — Жемчужина. пр. Абая - ул. Наримановская,квартира,1,40,7,9,280000,KZT,50000,полностью,owner,true,,false,"свежий ремонт, новая мебель",false,,"сдам однокомнатную квартиру. В квартире все имеется, посуда, фильтр для питьевой воды. Сдам порядочным ЧИСТОПЛотНЫМ АККУРАТНЫМ без вредных привычек (не курящим, не пьющим) людям. Комуслуги включены в аренду. Без животных и маленьких детей. Депозит 50000, отдаю на руки когда съезжаете. Можно на короткий срок. Хозяин, не риелтор. Дом ориентировочно находится возле Жемчужина. пр. Абая - ул. Наримановская",2026-06-14
1013091583,https://krisha.kz/a/show/1013091583,Алматы,Медеуский р-н,Тулебаева 98,квартира,5,140,5,5,1100000,KZT,,,owner,,,true,"не новый, но аккуратный и чистый ремонт",,true,"5-комнатная квартира расположена в самом сердце ""золотого квадрата"" Алма-Аты, в спальном районе на улице Тулебаева, в двух шагах от парка им. 28-ми гвардейцев-панфиловцев, с лоджией, выходящей во двор. Балкон выходит на улицу Тулебаева. Ванная и туалет раздельные. Квартира полностью меблирована, после ремонта и ранее не сдавалась. Квартира полностью оборудована бытовой техникой, LED-телевизором (диагональ 140см) и сигнализацией охранной фирмы. В радиусе 200 метров несколько кафе, ресторанов и баров. В просторном, закрытом от посторонних дворе, есть детская площадка и место для парковки. Сдаётся на длительный срок.",2026-06-14
1009878003,https://krisha.kz/a/show/1009878003,Караганда,Казыбек би р-н,"мкр Новый Город, Гоголя 34/5​",квартира,2,42,6,10,350000,KZT,,полностью,owner,true,,false,"свежий ремонт, новая мебель",,,"Абсолютно новая квартира, с новой техникой, мебелью. качественный ремонт. сдается на длительный срок",2026-06-14
1012992389,https://krisha.kz/a/show/1012992389,Кызылорда,Кызылординская обл.,Астана 2 Шаменов1 г,квартира,3,66,5,5,130000,KZT,,полностью,owner,,,true,"свежий ремонт, новая мебель",,true,3 бөлмелі кв 5 этаж 130 000 + ком услуг,2026-06-14
1010090669,https://krisha.kz/a/show/1010090669,Астана,Есильский р-н,"мкр Комсомольский, Туран",квартира,6,274.1,4,4,1500000,KZT,,частично,owner,true,,true,"не новый, но аккуратный и чистый ремонт",,,"жил. комплекс Изумруд, жил. площадь 224.1 м², кухня 50 м², меблирована частично",2026-06-14
695440617,https://krisha.kz/a/show/695440617,Алматы,Алмалинский р-н,Гагарина проспект 12,квартира,1,34,3,5,250000,KZT,100000,полностью,agency,,,true,"свежий ремонт, новая мебель",,,"Сдаётся квартира, хороший ремонт, тихий двор, депозит 100.000, комиссия. Квартира для проживания одного-двоих людей, без вредных привычек",2026-06-14
690795178,https://krisha.kz/a/show/690795178,Астана,Алматы р-н,Байтурсынова 9 F2 — Напротив Пирамида Парк,квартира,4,164,12,30,1150000,KZT,,полностью,owner,true,,true,"свежий ремонт, новая мебель",,true,"Хайвил Астана F2 блок, плюс депозит и комуслуги Дом ориентировочно находится возле Напротив Пирамида Парк",2026-06-14
685220724,https://krisha.kz/a/show/685220724,Астана,Алматы р-н,Кошкарбаева 10,квартира,3,97,16,22,550000,KZT,,полностью,owner,true,,true,"свежий ремонт, новая мебель",,,Хайвил Астана Е2 блок сдается на долгий срок. Плюс депозит,2026-06-14
688206912,https://krisha.kz/a/show/688206912,Алматы,Алмалинский р-н,Муратбаева,квартира,2,44,5,5,250000,KZT,,полностью,owner,false,,true,"не новый, но аккуратный и чистый ремонт",false,,"Курящим и парням не беспокоить! Сдается работающим девушкам некурящим и без животных (!) : уютная 2-комнатная квартира на 5 этаже из 5. Лифта нет. Район спальный, подъезд аккуратный, квартира чистая без насекомых. Полностью меблирована (в том числе двуспальная кровать и большой раскладной диван), имеются сушилки (напольная и потолочная), раскладной стол, холодильник, микроволновка, газовая плита и духовой шкаф, телевизор. Стиральная машина расположена в ванной комнате. Счетчики гор/хол воды. Имеется страховой платеж в размере 100 000 тенге. Ком. услуги оплачиваются отдельно.",2026-06-14
1002799101,https://krisha.kz/a/show/1002799101,Кокшетау,Акмолинская обл.,Назарбаева 6 — Напротив Кокше Конкор,квартира,2,50,3,5,150000,KZT,35000,частично,owner,,,true,"не новый, но аккуратный и чистый ремонт",,,"Удобная локация, депозит 35000 Дом ориентировочно находится возле Напротив Кокше Конкор",2026-06-14
1010883867,https://krisha.kz/a/show/1010883867,Семей,Абай обл.,Засядко 88,квартира,3,63.4,3,9,200000,KZT,,частично,owner,,,true,"не новый, но аккуратный и чистый ремонт",,,"Теплая, светлая",2026-06-14
1012965481,https://krisha.kz/a/show/1012965481,Алматы,Бостандыкский р-н,Тургут Озала,квартира,2,45,15,21,310000,KZT,,полностью,agency,true,,,"свежий ремонт, новая мебель",,true,🏠 2-комнатная квартира ✨ Преимущества: 🏫 Рядом школы 🚇 Станция метро Сайран — в шаговой доступности 🛍 ТРЦ ADK поблизости ☕ Кафе и рестораны рядом 🚍 Отличная транспортная доступность 🔒 Закрытый и ухоженный двор 📍 Удобная локация для комфортного проживания,2026-06-14
1012982383,https://krisha.kz/a/show/1012982383,Тараз,мкр Мынбулак,мкр Мынбулак 15,квартира,2,45,3,5,150000,KZT,,полностью,owner,,,,"свежий ремонт, новая мебель",,,тихий район,2026-06-14
688243766,https://krisha.kz/a/show/688243766,Алматы,Бостандыкский р-н,Гагарина 310 — Аль Фараби Гагарина,квартира,2,47,4,20,400000,KZT,,полностью,owner,true,true,false,"свежий ремонт, новая мебель",,,"Сдаётся квартира на 4 этаже в новом, современном ЖК “Комфорт Сити "". Жилой комплекс бизнес класса, расположенный в самом центре Алматы — в пешей доступности до торгового центра Mega. В стоимость аренды не входят коммунальные услуги. Предусмотрен страховой депозит в размере месячной арендной платы. квартира сдается без домашних животных. квартира полностью укомплектована. Встроенные шкафы в каждой комнате. В квартире есть вся необходимая мебель и бытовая техника для удобства и комфортного проживания. Жилой комплекс находится в пешей доступности от ТРЦ Мега, Магнум В ЖК "" Комфорт Сити "" предусмотрен подземный паркинг, а также охраняемая открытая парковка для жильцов. Удобная локация, в деловом районе Алматы. Безопасность: Видеодомофон Видеонаблюдение Пропускная система Противопожарная система Круглосуточная охрана Консьерж Субаренду не рассматриваем! О комплексе: Жилой комплекс расположен в центре города, на пересечении проспекта Аль - Фараби и Гагарина ◾️ В минутах езды от Esentai Mall ◾️ В 5 минутах езды от БЦ Нурлы-Тау ◾️ В 2 минутах пешей прогулки до ТРЦ Мега ◾️ В 2 минутах пешей прогулки до Magnum. ◾️В минуте ходьбы до нового фитнес центра Champion Дом ориентировочно находится возле Аль Фараби Гагарина",2026-06-14
1012658339,https://krisha.kz/a/show/1012658339,Атырау,Атырауская обл.,Бактыгерея Кулманова 1в,квартира,1,77,,,280000,KZT,,полностью,owner,true,,true,"не новый, но аккуратный и чистый ремонт",,,"Сдам 1 ком кв в центре города вдоль набережной в ЖК ГРАНД АТЫРАУ общей площадью 77 кв м. Вся инфраструктура в шаговой доступности. Уютная, чистая, просторная, светлая квартира. Ком услуги оплачиваются отдельно, Звоните",2026-06-14
697304036,https://krisha.kz/a/show/697304036,Алматы,Бостандыкский р-н,"мкр Баганашыл, Тан 10 — Около школы KIS",квартира,1,30,1,2,150000,KZT,50000,частично,owner,,true,,"не новый, но аккуратный и чистый ремонт",false,,"ЖЕЛАТЕЛЬНО ПИСАТЬ НА МЕССЕНДЖЕР ЖЕЛАТЕЛЬНО ХОЛОСТЫМ НА МАШИНЕ, БЕЗ ВРЕДНЫХ ПРИВЫЧЕК, БЕЗ ЖИВОТНЫХ! СТУДЕНТАМ И СТРОИТЕЛЯМ НЕ СДАЁМ! На длительный срок, телевизор, вся бытовая техника. Тип строения, дом в двух. уровнях на 8 квартир с отдельным входом в каждую квартиру (санузел, душ. кабина в квартире). В частном секторе в 1 км до остановки, ходит 101 маршрут. Парковка во дворе. Условия Аренда, коммуналка отдельно и депозит 50 000 тенге не возвратный. Дом ориентировочно находится возле Около школы KIS",2026-06-14
1000842614,https://krisha.kz/a/show/1000842614,Алматы,Бостандыкский р-н,Аль-Фараби 21,квартира,4,175,15,16,1200000,KZT,,полностью,agency,,,,"свежий ремонт, новая мебель",,,"Сдаётся в долгосрочную аренду 4хкомнатная квартира в ЖК Афд плаза Эксклюзивный авторский дизайн, продуманна каждая деталь Территория жилого комплекса полностью огорожена Просторная и безопасная детская площадка В шаговой доступности всё необходимое для комфортного проживания Имеется страховой депозит",2026-06-14
1012930226,https://krisha.kz/a/show/1012930226,Алматы,Алмалинский р-н,Панфилова 151,квартира,3,74,3,4,600000,KZT,,полностью,agency,,,,"свежий ремонт, новая мебель",,,меблирована полностью,2026-06-14
693959863,https://krisha.kz/a/show/693959863,Алматы,Медеуский р-н,Достык 97Б,квартира,2,75,4,22,500000,KZT,,полностью,agency,,,true,,,,"Сдаётся в долгосрочную аренду уютная 2-х комнатная квартира в Медеуском районе Есть всё необходимое для комфортного проживания Развитая инфраструктура В шаговой доступности ТРЦ, скверы для прогулок, рестораны и многое другое",2026-06-14
691182765,https://krisha.kz/a/show/691182765,Алматы,Алмалинский р-н,Жибек Жолы 192 — Гоголя -Муратбаева,квартира,1,32,2,5,200000,KZT,50000,,owner,,,true,"не новый, но аккуратный и чистый ремонт",,,"+квартплата, депозит 50000тг Дом ориентировочно находится возле Гоголя -Муратбаева",2026-06-14
1013106754,https://krisha.kz/a/show/1013106754,Актобе,мкр. Алтын орда,мкр. Алтын орда,квартира,1,56,4,9,150000,KZT,,полностью,agency,,,true,,,,"Сдается 1 комнатная квартира на длительный срок, желательно семейным. Квартира чистая и уютная",2026-06-14
1013106701,https://krisha.kz/a/show/1013106701,Алматы,Алмалинский р-н,Назарбаева 77 — Арбат,квартира,2,54,5,9,350000,KZT,,,owner,true,,,"не новый, но аккуратный и чистый ремонт",,true,,2026-06-14
1013106685,https://krisha.kz/a/show/1013106685,Караганда,Казыбек би р-н,"мкр Юго-Восток, Мкр Юго-Восток, 29й микрорайон 16 — Каргу",квартира,3,50,2,5,200000,KZT,,частично,owner,,,true,"не новый, но аккуратный и чистый ремонт",,true,сдаётся 3-х комнатная квартира. на долгий срок Дом ориентировочно находится возле Каргу,2026-06-14
762057097,https://krisha.kz/a/show/762057097,Алматы,Медеуский р-н,Торекулова 93,квартира,3,110,2,12,700000,KZT,700000,полностью,owner,true,,,"свежий ремонт, новая мебель",,true,"Новая квартира дизайнерский ремонт, полностью укомплектована: посуда, текстиль.2 отдельные спальни и зал и кухня. Фильтр для воды, сетки на окнах. Также имеется парковочные места и кладовка за отдельную плату. Предусмотрен депозит 700 000 можно разделить на 2 месяца Сдаем на долгий срок ! Рядом Мега Парк !Квартира сдается от хозяина.",2026-06-14
