page_number,position,source_listing_id,listing_url,title,price_summary
1,1,23876180,https://www.list.am/en/item/23876180?ld_src=2,"Բեռնափոխադրում բանվորով Գազելով Artashat, 3 - 5 tons Services › Transportation › Cargo Transport Sunday, June 14, 2026, 22:13","5,000 ֏ per service"
1,2,23876179,https://www.list.am/en/item/23876179?ld_src=2,"Tractor Truck IVECO, diesel, 6x4, 2016 y. Exclusive Davtashen, 2016 y., Diesel Vehicles › Trucks and Special Machinery › Trucks › Tractor Truck Sunday, June 14, 2026, 22:13","$34,000"
1,3,23390855,https://www.list.am/en/item/23390855?ld_src=2,"Քարսիթ, մեքենայի մանական նսատատեղ Avan Baby and Kids › Walking and Traveling › Car Seats Sunday, June 14, 2026, 22:13","17,000 ֏"
1,4,21578194,https://www.list.am/en/item/21578194?ld_src=2,"Համասեզոնային անվադողեր, 215/50 R17 Kentron Vehicles › Parts and Accessories › Wheels and Tires › Tires Sunday, June 14, 2026, 22:13","20,000 ֏"
1,5,20692553,https://www.list.am/en/item/20692553?ld_src=2,"Վաննա իր հենակով Malatia-Sebastia Baby and Kids › Feeding and Care › Bath and Hygiene Sunday, June 14, 2026, 22:13","4,000 ֏"
1,6,23876178,https://www.list.am/en/item/23876178?ld_src=2,"Դաշնամուր rosler Ijevan Hobbies and Sports › Music Instruments › Pianos and Keyboards › Pianos Sunday, June 14, 2026, 22:13","400,000 ֏"
1,7,22485610,https://www.list.am/en/item/22485610?ld_src=2,"Դեկորատիվ Սիլիկոնային Սվաղ No 401 Կորոէդ-Декоративная Силиконовая штукатурка Технониколь No401 Shengavit Renovation and Construction › Finishing Materials › Decorative walls and Wallpapers Sunday, June 14, 2026, 22:13","15,000 ֏"
1,8,23876177,https://www.list.am/en/item/23876177?ld_src=2,"Գռուզների տեղափոխում Alaverdi, 1 - 2 tons Services › Transportation › Cargo Transport Sunday, June 14, 2026, 22:13",100 ֏ per km
1,9,21352000,https://www.list.am/en/item/21352000?ld_src=2,"Прогулочная коляска Kolcraft, до 3 лет օ Malatia-Sebastia Baby and Kids › Walking and Traveling › Strollers › Walking Stroller Sunday, June 14, 2026, 22:13","35,000 ֏"
1,10,23852570,https://www.list.am/en/item/23852570?ld_src=2,"Քաղաքային հեռախոս Avan Electronics › Everything Else Sunday, June 14, 2026, 22:12","4,000 ֏"
1,11,21521761,https://www.list.am/en/item/21521761?ld_src=2,"Camry70 պահեստային անիվի պլասմաս Suitable For Toyota Camry Kentron Vehicles › Parts and Accessories › Car Parts › Body Parts Sunday, June 14, 2026, 22:12","20,000 ֏"
1,12,23469241,https://www.list.am/en/item/23469241?ld_src=2,"225 45 R17 245 40 R17 90% Erebuni Vehicles › Parts and Accessories › Wheels and Tires › Tires Sunday, June 14, 2026, 22:12","85,000 ֏"
1,13,23813369,https://www.list.am/en/item/23813369?ld_src=2,"Խոտածածկ արհեստական Shengavit Home and Garden › Everything for the Garden › Garden Decor Sunday, June 14, 2026, 22:12","2,500 ֏"
1,14,22069925,https://www.list.am/en/item/22069925?ld_src=2,"Toyota Rav4 հետեվի ստոպ Suitable For Toyota RAV4 Kentron Vehicles › Parts and Accessories › Car Parts › Lighting and Optics Sunday, June 14, 2026, 22:12","20,000 ֏"
1,15,23323091,https://www.list.am/en/item/23323091?ld_src=2,"235 60 R18 ձմեռային 1 հատ Erebuni Vehicles › Parts and Accessories › Wheels and Tires › Tires Sunday, June 14, 2026, 22:12","18,000 ֏"
1,16,22561676,https://www.list.am/en/item/22561676?ld_src=2,"Ֆիկուս էլաստիկ կանաչ Avan Home and Garden › Plants › House Plants Sunday, June 14, 2026, 22:12","15,000 ֏"
1,17,21740189,https://www.list.am/en/item/21740189?ld_src=2,"Ուղեգորգ չօգտագործած Erebuni Home and Garden › Interior Items › Rugs › Carpet Runners Sunday, June 14, 2026, 22:12","20,000 ֏"
1,18,21330061,https://www.list.am/en/item/21330061?ld_src=2,"Ֆրիտյուրնիցա ZELMER Erebuni Appliances › Kitchen Appliances › Other Kitchen Appliances › Fryers Sunday, June 14, 2026, 22:12","25,000 ֏"
1,19,21843127,https://www.list.am/en/item/21843127?ld_src=2,"Սեղանի սպասք ափսեներ տարբեր չափի Avan Home and Garden › Dishes and Kitchenware › Tableware › Plates Sunday, June 14, 2026, 22:12",300 ֏
1,20,23819668,https://www.list.am/en/item/23819668?ld_src=2,"Առջևի լուսարձակներ grand cherokee 2021 Suitable For Jeep Grand Cherokee Shengavit Vehicles › Parts and Accessories › Car Parts › Lighting and Optics Sunday, June 14, 2026, 22:12","350,000 ֏"
1,21,23377921,https://www.list.am/en/item/23377921?ld_src=2,"Commercial Property on Artsakh Avenue in Erebuni, 10 sq.m. Erebuni, 10 sq.m. Real Estate › Long Term Rentals › Commercial Properties › Everything Else Sunday, June 14, 2026, 22:12","50,000 ֏ monthly"
1,22,20917926,https://www.list.am/en/item/20917926?ld_src=2,"Կարի մեքենա ""Чайка"" Avan Appliances › Clothing Care › Sewing Machines Sunday, June 14, 2026, 22:12","18,000 ֏"
1,23,23323069,https://www.list.am/en/item/23323069?ld_src=2,"235 55 R19 всесезон Michelin Erebuni Vehicles › Parts and Accessories › Wheels and Tires › Tires Sunday, June 14, 2026, 22:12","30,000 ֏"
1,24,23641811,https://www.list.am/en/item/23641811?ld_src=2,"215 55 R17 90% ամառային Erebuni Vehicles › Parts and Accessories › Wheels and Tires › Tires Sunday, June 14, 2026, 22:12","70,000 ֏"
1,25,20192142,https://www.list.am/en/item/20192142?ld_src=2,"Կաշվե կիսաբաճկոնի պիսեցի մորթիներ Avan, Size XL, Green Clothing and Fashion › Women's Wardrobe › Clothing › Fur Coats and Shearlings Sunday, June 14, 2026, 22:12","20,000 ֏"
1,26,23852571,https://www.list.am/en/item/23852571?ld_src=2,"Totolink ac1200 (a3002ru) Arabkir Electronics › Laptops and Computers › Peripherals › Network Equipment Sunday, June 14, 2026, 22:12","10,000 ֏"
1,27,22561734,https://www.list.am/en/item/22561734?ld_src=2,"Գիշերային կոբալտե լուսամփոփ Avan Home and Garden › Interior Items › Lighting › Night Lights Sunday, June 14, 2026, 22:12","40,000 ֏"
1,28,22366926,https://www.list.am/en/item/22366926?ld_src=2,"Եղեվնիներ այգու համար Abovyan Home and Garden › Plants › Outdoor Plants Sunday, June 14, 2026, 22:12","350,000 ֏"
1,29,20548734,https://www.list.am/en/item/20548734?ld_src=2,"Վզնոցներ, թևնոցներ, կոմպլեկտով և առանձին Nor Nork Clothing and Fashion › Accessories › Jewellery › Necklaces and Chokers Sunday, June 14, 2026, 22:12","10,000 ֏"
1,30,23876175,https://www.list.am/en/item/23876175?ld_src=2,"Эргономичное кресло от немецкого FLEXISPOT для дома и офиса для комфортной работы в течение всего дня Abovyan Home and Garden › Furniture › Chairs › Office Chairs Sunday, June 14, 2026, 22:12","150,000 ֏"
1,31,23876174,https://www.list.am/en/item/23876174?ld_src=2,"Լուստրա ջահ.հինգ լամպ Nor Nork Home and Garden › Interior Items › Lighting › Chandeliers and Pendants Sunday, June 14, 2026, 22:12","15,000 ֏"
1,32,23505439,https://www.list.am/en/item/23505439?ld_src=2,"Զինվորական բատինկա (սապոկ) Nor Nork, Size 41, Black Clothing and Fashion › Men's Wardrobe › Shoes › Knee High Boots Sunday, June 14, 2026, 22:12","5,000 ֏"
1,33,21065795,https://www.list.am/en/item/21065795?ld_src=2,"Plot for general purpose in Garni, 1,029 sq.m. Garni, 1029 sq.m. Real Estate › For Sale › Land › For General Purpose Sunday, June 14, 2026, 22:12","$30,000"
1,34,23876173,https://www.list.am/en/item/23876173?ld_src=2,"Բեժ, տեքստիլ անկյունային խոլ Avan, Textile, Beige Home and Garden › Furniture › Sofas and Armchairs › Sets Sunday, June 14, 2026, 22:12","70,000 ֏"
