source_listing_id,url,city,district,address_text,property_type,rooms,area_m2,floor,floors_total,price_local,currency,deposit_local,furnished,owner_type,elevator,parking,balcony,renovation,pets_allowed,children_allowed,description,posted_at
23876180,https://www.list.am/en/item/23876180,Ararat › Artashat,,,apartment,,,,,5000,AMD,,,owner,,,,,,,Անվտանգ ապահով գույքի բեռնափոխադրում,2026-06-14T18:13:03+00:00
23876179,https://www.list.am/en/item/23876179,Yerevan › Davtashen,,,apartment,,,,,34000,USD,,,owner,,,,,,,Машина в отличном состоянии! Евро 6 AS500 Рассмотрю варианты обмена!,2026-06-14T18:13:03+00:00
23390855,https://www.list.am/en/item/23390855,Yerevan › Avan,,,apartment,,,,,17000,AMD,,,owner,,,,,,,"Վաճառվում է է քարսիթ՝ Lorelli ֆիրմայի, քիչ և խնամքով օգտագործված։ 9-35կգ",2026-02-04T10:10:05+00:00
21578194,https://www.list.am/en/item/21578194,Yerevan › Kentron,,,apartment,,,,,20000,AMD,,,owner,,,,,,,"Համասեզոնային անվադողեր, 215/50 R17 yokohama 95% volt2",2024-10-04T11:32:06+00:00
20692553,https://www.list.am/en/item/20692553,Yerevan › Malatia-Sebastia,,,apartment,,,,,4000,AMD,,,owner,,,,,,,"Գտնվում է լավ վիճակում, քիչ է օգտագործվել։ Ցույց է տալիս ջրի ջերմաստիճանը։ Գնել եմ միասին 20000 դ։",2024-02-24T12:15:05+00:00
23876178,https://www.list.am/en/item/23876178,Tavush › Ijevan,,,apartment,,,,,400000,AMD,,,owner,,,,,,,Վաճառվում է դաշնամուր չոգտագործված:,2026-06-14T18:13:02+00:00
22485610,https://www.list.am/en/item/22485610,Yerevan › Shengavit,,,apartment,,,,,15000,AMD,,,owner,,,,,,,Առաջարկում ենք Դեկորատիվ հանքային Սվաղ անմիջապես ներկրողից ։ Արտադրող երկիր Ռուսաստան։ Ներկայացնում ենք նյութի տեխնիկական պարամետրերը։ Գույն-Սպիտակ Քաշ-15կգ Գոլորշաթափանցելիություն-0.035 Կայունություն ուլտրամանուշակագույն ճառագայթներին Քարերի մեծություն 2մմ։ Ջրակայուն Ցրտակայուն Բարձր էլաստիկություն,2025-05-19T10:35:03+00:00
23876177,https://www.list.am/en/item/23876177,Lori › Alaverdi,,,apartment,,,,,100,AMD,,,owner,,,,,,,Արագ և անվնաս տեղափոխում հայաստանի տարածքում,2026-06-14T18:13:01+00:00
21352000,https://www.list.am/en/item/21352000,Yerevan › Malatia-Sebastia,,,apartment,,,,,35000,AMD,,,owner,,,,,,,Օկտագրտվելա 6 ամիս գնել ենք 130000 հազար,2024-08-11T07:27:02+00:00
23852570,https://www.list.am/en/item/23852570,Yerevan › Avan,,,apartment,,,,,4000,AMD,,,owner,,,,,,,Վաճառվում է քաղաքային հեռախոս։ Գտնվում է գերազանց վիճակում աշխատող է։,2026-06-08T12:10:02+00:00
21521761,https://www.list.am/en/item/21521761,Yerevan › Kentron,,,apartment,,,,,20000,AMD,,,owner,,,,,,,"Օրիգինալ, լրիվ նորի պես, զապասի գուպկա (պլասմաս) հարմար է Քեմրի 70 (2017—2023) համար",2024-09-21T10:27:01+00:00
23469241,https://www.list.am/en/item/23469241,Yerevan › Erebuni,,,apartment,,,,,85000,AMD,,,owner,,,,,,,"Քիչ օգտագործված, իդեալական վիճակում, ձմեռային, լավ որակի լեն ու նեղ 225/45-245/40 R17",2026-02-25T11:03:09+00:00
23813369,https://www.list.am/en/item/23813369,Yerevan › Shengavit,,,apartment,,,,,2500,AMD,,,owner,,,,,,,"Անմիջապես արտադրողից առաջարկում ենք արհեստական խոտածածկ այգիների, բակերի, և այլ տարածքների ձևավորման համար.",2026-05-27T14:42:01+00:00
22069925,https://www.list.am/en/item/22069925,Yerevan › Kentron,,,apartment,,,,,20000,AMD,,,owner,,,,,,,"Toyota Rav 4xa40 հետևի ստոպ, գտնվում է անթերի վիճակում լեդ տարբերակն է",2025-02-03T10:13:03+00:00
23323091,https://www.list.am/en/item/23323091,Yerevan › Erebuni,,,apartment,,,,,18000,AMD,,,owner,,,,,,,"Ճղած, կպցրած, պռակոլ չկա, 90%, մեկ հատա",2026-01-16T13:53:03+00:00
22561676,https://www.list.am/en/item/22561676,Yerevan › Avan,,,apartment,,,,,15000,AMD,,,owner,,,,,,,Վաճառվում է 2 տարեկան Ֆիկուս էլաստիկա սենյակային բույս։Շատ լավ աճում էտան պայմաններում և գրասենյակներում։ Լուսասեր է։Ունի 1մ երկարություն։,2025-06-09T07:32:04+00:00
21740189,https://www.list.am/en/item/21740189,Yerevan › Erebuni,,,apartment,,,,,20000,AMD,,,owner,,,,,,,"Վաճառվում է նոր ուղեգորգ։Չափսը` 3×1,2 մ",2024-11-11T11:18:05+00:00
21330061,https://www.list.am/en/item/21330061,Yerevan › Erebuni,,,apartment,,,,,25000,AMD,,,owner,,,,,,,"Վաճառվում է անթերի վիճակում գտնվող, շատ հարմարավետ, համարյա չօգտագործված [միացվել է 7-8 անգամ] ֆրիտյուրնիցա 5 լ տարողունակությամբ",2024-08-05T09:18:01+00:00
21843127,https://www.list.am/en/item/21843127,Yerevan › Avan,,,apartment,,,,,300,AMD,,,owner,,,,,,,"Վաճառվում է ափսեներ միջին ու փոքր չափերի մանր ծաղիկներով, տարբեր նախշերով։Յուրաքանչյուր ափսեյից առկա է 12 հատ։",2024-12-05T07:25:03+00:00
